AGNO;RBD;DGV_RBD;NOM_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;ESTADO_ESTAB;MAT_HOM_1;MAT_MUJ_1;MAT_ENS_1;MAT_SI_2;MAT_HOM_2;MAT_MUJ_2;MAT_ENS_2;MAT_HOM_3;MAT_MUJ_3;MAT_ENS_3;MAT_SI_4;MAT_HOM_4;MAT_MUJ_4;MAT_ENS_4;MAT_SI_5;MAT_HOM_5;MAT_MUJ_5;MAT_ENS_5;MAT_HOM_6;MAT_MUJ_6;MAT_ENS_6;MAT_HOM_7;MAT_MUJ_7;MAT_ENS_7;MAT_HOM_8;MAT_MUJ_8;MAT_ENS_8;MAT_HOM_TOT;MAT_MUJ_TOT;MAT_SI_TOT;MAT_TOTAL;CUR_SIM_01;CUR_SIM_02;CUR_SIM_03;CUR_SIM_04;CUR_SIM_05;CUR_SIM_06;CUR_SIM_07;CUR_SIM_08;CUR_SIM_TOT;CUR_COMB_01;CUR_COMB_02;CUR_COMB_TOT
2020;20287;8;ESCUELA ESPECIAL AMPALU;3;2;0;9;ARAUC;92;9201;ANGOL;91;MALLECO;1;0;0;0;0;0;0;0;0;0;0;0;48;28;76;0;0;0;0;0;0;0;0;0;0;0;0;0;48;28;0;76;0;0;0;6;0;0;0;0;6;0;0;0
2020;20288;6;ESCUELA ESPECIAL `EL CASTILLO DEL LENGUAJE`;3;2;0;9;ARAUC;91;9101;TEMUCO;92;CAUTÍN NORTE;1;0;0;0;0;0;0;0;0;0;0;0;91;57;148;0;0;0;0;0;0;0;0;0;0;0;0;0;91;57;0;148;0;0;0;10;0;0;0;0;10;0;0;0
2020;20289;4;ESCUELA NUEVOS COPIHUES;3;2;1;9;ARAUC;91;9121;CHOLCHOL;92;CAUTÍN NORTE;1;14;3;17;0;29;31;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;34;0;77;2;0;0;0;0;0;0;0;2;0;2;2
2020;20290;8;COLEGIO THE FOREST SCHOOL;3;2;0;9;ARAUC;91;9114;PITRUFQUÉN;93;CAUTÍN SUR;1;22;46;68;0;213;224;437;0;0;0;0;0;0;0;0;123;126;249;0;0;0;0;0;0;0;0;0;358;396;0;754;2;15;0;0;8;0;0;0;25;0;0;0
2020;20291;6;ESCUELA ESPECIAL DE LENGUAJE RENACER;3;2;0;9;ARAUC;91;9101;TEMUCO;92;CAUTÍN NORTE;1;0;0;0;0;0;0;0;0;0;0;0;66;42;108;0;0;0;0;0;0;0;0;0;0;0;0;0;66;42;0;108;0;0;0;8;0;0;0;0;8;0;0;0
2020;20292;4;ESCUELA ESPECIAL DE LENGUAJE LETRITAS;3;2;0;8;BBIO;81;8101;CONCEPCIÓN;83;CONCEPCIÓN;1;0;0;0;0;0;0;0;0;0;0;0;32;61;93;0;0;0;0;0;0;0;0;0;0;0;0;0;32;61;0;93;0;0;0;7;0;0;0;0;7;0;0;0
2020;20293;2;ESCUELA ESPECIAL DE LENGUAJE SEMILLITA;3;2;0;8;BBIO;82;8202;ARAUCO;84;ARAUCO;1;0;0;0;0;0;0;0;0;0;0;0;64;41;105;0;0;0;0;0;0;0;0;0;0;0;0;0;64;41;0;105;0;0;0;8;0;0;0;0;8;0;0;0
2020;20294;0;ESCUELA ESPECIAL N° 2458 KIMUNTUWE;3;2;0;13;RM;133;13302;LAMPA;137;SANTIAGO NORTE;1;0;0;0;0;0;0;0;0;0;0;0;36;21;57;0;0;0;0;0;0;0;0;0;0;0;0;0;36;21;0;57;0;0;0;4;0;0;0;0;4;0;0;0
2020;20295;9;ESCUELA  ESPECIAL  N° 208 LA  RONDA;3;2;0;13;RM;134;13402;BUIN;132;SANTIAGO SUR;1;0;0;0;0;0;0;0;0;0;0;0;63;70;133;0;0;0;0;0;0;0;0;0;0;0;0;0;63;70;0;133;0;0;0;10;0;0;0;0;10;0;0;0
2020;20296;7;ESCUELA ESPECIAL DE LENGUAJE PEUMAYEN;3;2;0;8;BBIO;81;8112;HUALPÉN;83;CONCEPCIÓN;1;0;0;0;0;0;0;0;0;0;0;0;40;35;75;0;0;0;0;0;0;0;0;0;0;0;0;0;40;35;0;75;0;0;0;6;0;0;0;0;6;0;0;0
